time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss
2151,75,79,161792,0.042333984375,0.0049874526,-0.0036612311378121376,0.007784978020936251,780,0.0003,0.0005511471118552436,0.2,0.9994990825653076,1.2717481851577759,-4.990162537992001
2152,76,80,163840,0.04033203125,0.0059413896,-0.0037741921143606303,-0.017432261258363724,790,0.0003,0.0016230961292762914,0.2,0.998197078704834,1.2513903379440308,-4.951290245354175
2152,77,81,165888,0.080810546875,0.008000505,-0.007490422955015674,-0.011148326098918915,800,0.0003,0.0008290805812748659,0.2,0.9995570778846741,1.2564377784729004,-4.932600349187851
2153,77,82,167936,0.06396484375,0.0077500036,-0.005215236369258492,-0.011128636077046394,810,0.0003,0.0005313887953207086,0.2,0.9996674060821533,1.263083815574646,-4.9493058800697325
2154,78,83,169984,0.039892578125,0.0058524907,-0.0033869728533318265,-0.01427674014121294,820,0.0003,0.0006997133053118886,0.2,0.9992269277572632,1.2787166833877563,-4.976935201883316
2154,79,84,172032,0.11015625,0.011865204,-0.009025634254794569,-0.02468150109052658,830,0.0003,0.000352993324304407,0.2,0.9997316002845764,1.2579598426818848,-4.965703882277012
2154,80,85,174080,0.027490234375,0.005252215,-0.0035129597294144333,-0.01573888026177883,840,0.0003,0.0002761047993999455,0.2,0.9995215535163879,1.2437454462051392,-4.924492844939232
2155,81,86,176128,0.123974609375,0.011554003,-0.010802608080848587,-0.01951303891837597,850,0.0003,0.00022802648647370915,0.2,0.9997549057006836,1.2483035326004028,-4.914998577535153
2155,82,87,178176,0.076123046875,0.008190045,-0.007221594762813766,0.00701652467250824,860,0.0003,9.589755686079116e-05,0.2,0.999893069267273,1.229766845703125,-4.894228141009807
2155,83,88,180224,0.054931640625,0.0063020973,-0.005106895489734598,0.00765338446944952,870,0.0003,0.00038992086189182373,0.2,0.9996352791786194,1.2335237264633179,-4.875174015760422
2156,84,89,182272,0.035302734375,0.0047068773,-0.0029973844968480988,0.006310408469289541,880,0.0003,7.070997320965944e-05,0.2,0.9997790455818176,1.2207684516906738,-4.861709097027779
2155,85,90,184320,0.03134765625,0.005124381,-0.0032582078769337387,0.018733514472842216,890,0.0003,0.00010145758863018272,0.2,0.9998528957366943,1.2028495073318481,-4.821601185202598
2155,86,91,186368,0.05390625,0.0058038346,-0.003572111701942049,0.005784445442259312,900,0.0003,6.538097833299616e-05,0.2,0.9998114705085754,1.1833596229553223,-4.773521623015403
2154,87,92,188416,0.0150390625,0.0053756707,-0.0011259973645792343,0.0034981409553438425,910,0.0003,4.347543473386395e-05,0.2,0.9998431205749512,1.1791447401046753,-4.742594623565674
2154,88,93,190464,0.07470703125,0.0078410935,-0.008146288798889146,-0.020931240171194077,920,0.0003,0.00011413011411605112,0.2,0.9998421669006348,1.1706513166427612,-4.717995071411133
2153,89,94,192512,0.07294921875,0.0066216565,-0.005599499591335188,-0.01757807470858097,930,0.0003,9.866470003032646e-05,0.2,0.99977046251297,1.1544328927993774,-4.683555004000664
2154,90,95,194560,0.08408203125,0.007888775,-0.007962049030174967,-0.0031624219845980406,940,0.0003,0.00019484403208167578,0.2,0.9997423887252808,1.1426893472671509,-4.644155596196652
